ECR1	ECR2	ECR3	ECR4	DCS1	DCS2	DCS3	DCS4	RCD1	RCD2	RCD3	RCD4	RCD5	STA1	STA2	STA3	STA4	IMC1	IMC2	IMC3	IMC4	SPA1	SPA2	SPA3	SPA4	PMC1	PMC2	PMC3	PMC4	MAS1	MAS2	MAS3	MAS4	MAS5	NIC1	NIC2	OCC1	OCC2	OCP1
4	4	4	5	5	4	4	5	4	3	4	5	3	4	4	4	4	3	3	3	3	3	4	3	4	3	4	4	3	3	3	3	3	3	2	2	2	4	2
5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	4	3	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4
4	4	4	3	2	5	5	4	3	4	5	5	5	2	5	4	3	1	1	4	5	3	2	4	5	4	3	4	1	5	5	4	3	5	3	4	5	5	5
5	4	4	3	4	4	5	4	4	4	4	4	4	4	4	5	4	2	4	3	5	3	4	4	4	3	4	4	4	4	4	4	4	4	4	3	3	4	3
5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	3	5
4	4	3	3	4	4	4	4	4	4	3	4	3	3	4	4	4	3	3	4	3	4	4	4	4	4	4	4	3	4	4	4	5	5	4	3	3	4	2
5	5	5	5	4	5	5	5	5	4	5	4	3	5	4	5	5	5	4	5	3	5	5	4	5	5	5	4	3	5	4	5	5	5	2	2	2	3	5
3	5	2	5	5	4	5	5	5	5	5	4	5	4	5	5	5	5	4	4	4	4	4	2	4	5	4	4	3	2	5	2	4	4	3	2	5	3	5
5	4	4	4	4	3	4	5	5	4	4	4	5	4	4	5	4	4	4	4	4	5	5	4	4	3	4	3	4	5	4	4	3	4	2	2	5	3	4
3	4	3	3	2	3	4	5	3	4	3	4	4	1	2	2	3	2	3	4	1	3	3	4	2	3	4	4	2	5	3	2	2	2	2	2	3	2	3
5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	3	4	4	5	5	5	4	5	5	5	4	4	4	4	2	3	2	5	2
3	2	2	3	4	3	4	4	3	4	3	2	2	4	3	4	3	5	3	2	2	2	3	2	2	2	2	2	2	2	2	2	1	1	3	3	2	2	4
5	5	4	4	4	5	5	5	4	5	4	5	4	3	4	3	4	3	3	5	3	4	5	4	5	4	5	4	5	3	5	4	4	4	5	5	5	5	5
4	3	4	4	4	3	4	4	4	4	4	4	3	3	3	4	4	3	4	5	1	4	5	4	3	3	3	5	3	3	5	4	4	3	2	3	3	2	3
4	5	5	5	5	4	5	5	4	4	5	4	3	4	5	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	5	5	5	4	5
3	2	4	4	1	4	4	5	5	4	1	4	4	3	3	3	5	5	2	2	3	4	4	4	5	1	5	5	2	1	4	5	4	1	3	3	3	3	1
4	2	4	2	3	3	5	5	4	4	5	3	3	3	3	3	5	4	4	5	5	4	5	4	4	4	3	3	2	2	3	3	4	4	2	2	1	1	1
4	4	4	5	5	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	3	3	3	2	2	3	4	3	4	4	4	4	3	4	3	3	5	4	4
3	5	4	4	4	5	5	4	5	5	5	4	5	4	4	4	5	4	3	4	2	4	4	4	5	5	5	5	4	4	4	4	5	4	3	5	5	2	2
4	4	4	3	4	4	4	4	4	4	4	4	3	5	2	4	4	4	3	2	2	4	4	4	4	4	5	5	3	3	4	3	4	2	3	2	2	1	2
5	5	5	5	5	5	5	5	5	5	4	5	5	5	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	1	4
4	4	4	3	3	3	3	5	4	4	4	5	4	4	4	4	4	3	3	3	4	4	4	4	4	3	4	5	3	4	4	5	4	4	2	2	2	3	3
4	4	4	4	4	5	4	5	3	3	3	4	3	4	3	5	4	3	3	3	2	3	4	4	4	3	4	4	4	5	4	3	4	4	2	3	3	4	2
4	4	4	4	2	2	4	4	5	4	5	4	4	2	2	4	2	1	4	2	1	1	2	4	4	2	5	3	2	4	4	4	4	5	2	1	1	2	1
4	5	3	5	4	3	4	5	4	3	3	5	3	4	5	4	5	3	5	4	5	3	5	5	3	3	3	4	2	2	2	5	4	4	3	1	5	3	1
2	2	4	4	4	4	4	4	3	3	4	3	2	2	1	3	3	2	2	2	2	3	2	3	4	4	4	2	2	2	2	3	2	2	2	2	2	3	2
4	5	5	5	4	4	5	5	3	4	5	5	3	4	3	4	4	5	5	4	4	3	4	4	3	3	4	4	4	5	3	3	3	3	2	2	2	5	5
4	5	3	4	4	5	5	5	5	4	4	5	3	3	4	4	4	5	5	4	4	4	4	5	5	5	4	3	4	4	4	4	5	2	3	3	2	4	4
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4
4	4	4	4	4	3	4	4	3	4	4	4	3	4	4	3	4	3	4	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	2	3	3	3	3
5	4	5	5	4	3	5	5	5	4	5	5	5	5	4	4	5	5	5	2	5	5	5	5	5	5	5	5	4	4	4	5	4	4	4	4	4	4	5
4	5	5	5	5	5	3	5	5	5	5	4	5	2	4	5	5	4	4	4	1	5	4	3	5	4	4	5	5	5	5	3	5	5	3	5	5	5	2
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	3	4	5	3	5	4	4	4	5	3	5	4	2	2	4	4	4	5	4	2	4	5	4	4	3	4	3	2	4	4	4	5	5	3	5	5	5	2
4	3	4	2	4	4	4	4	4	4	3	2	4	4	3	4	5	2	2	4	4	2	4	2	5	4	4	2	2	3	4	3	3	3	2	3	2	2	1
3	3	3	2	4	3	3	2	2	3	3	4	2	4	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	4	3	4	4	5	5	5	4	3	4	4	3	2	2	4	4	4	3	3	3	1	2	4	4	3	4	3	4	4	3	3	5	5	5	5	5	3	3
4	2	3	4	2	3	3	4	4	4	4	2	2	1	2	2	3	1	4	3	2	3	3	3	3	1	2	2	2	2	1	1	2	3	1	1	1	1	1
2	2	3	4	4	3	4	3	3	4	4	4	2	3	3	4	5	1	4	3	1	2	4	3	4	4	3	4	3	5	4	1	4	2	2	2	2	5	3
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4
